Te agradezco infinitamente,achievement_profile_created.png
Ser primero no es lo importante: es lo único,achievement_assassin_kills_25.png
Y me gusta el rol... el maldito rol,achievement_jester_wins_5.png
Hoy dormís afuera,achievement_expel_all_killers.png
Lo que no te mata... te infecta,achievement_deserter_wins_10.png
Ya nadie va a escuchar tu voto,achievement_mercenary_same_target_3.png
Sobreviviendo dije... sobreviviendo,achievement_villager_survives_12.png
El alcalde que fue prometido,achievement_mayor_power_wins_15.png
Quién te ha visto y quién te ve,achievement_total_wins_50.png
Traidores Supremo,achievement_traidores_supremo.png
